time,time
2024-11-15 18:25:10,0.9999727
2024-11-15 18:25:08,0.7701498
2024-11-15 18:25:06,0.8246634
2024-11-15 18:25:04,1.3104145
2024-11-15 18:25:02,0.6579402
2024-11-15 18:25:00,1.3333307
2024-11-15 18:24:58,1.4482614
2024-11-15 18:24:56,0.9254044
2024-11-15 18:24:54,0.7298962
2024-11-15 18:24:52,1.094783
2024-11-15 18:24:50,1.689509
2024-11-15 18:24:48,3.163281
2024-11-15 18:24:46,6.000086
2024-11-15 18:24:44,2.552261
2024-11-15 18:24:42,0.770156
2024-11-15 18:24:40,0.8246243
2024-11-15 18:24:38,1.4052167
2024-11-15 18:24:36,0.9999923
2024-11-15 18:24:34,1.0000043
2024-11-15 18:24:32,1.919454
2024-11-15 18:24:30,2.270199
2024-11-15 18:24:28,2.06306
2024-11-15 18:24:26,2.333329
2024-11-15 18:24:24,2.333402
2024-11-15 18:24:22,2.207007
2024-11-15 18:24:20,1.6666028
2024-11-15 18:24:18,1.2069465
2024-11-15 18:24:16,1.2298505
2024-11-15 18:24:14,1.4597081
2024-11-15 18:24:12,1.905213
2024-11-15 18:24:10,1.5315826
2024-11-15 18:24:08,1.6666694
2024-11-15 18:24:06,1.6666687
2024-11-15 18:24:04,1.919376
2024-11-15 18:24:02,2.684108
2024-11-15 18:24:00,1.333332
2024-11-15 18:23:58,1.1034935
2024-11-15 18:23:56,1.2298408
2024-11-15 18:23:54,1.2701514
2024-11-15 18:23:52,1.063171
2024-11-15 18:23:50,1.3333676
2024-11-15 18:23:48,1.1034924
2024-11-15 18:23:46,0.9999951
2024-11-15 18:23:44,0.9368056
2024-11-15 18:23:42,0.666676
2024-11-15 18:23:40,1.2412822
2024-11-15 18:23:38,2.993966
2024-11-15 18:23:36,3.603462
2024-11-15 18:23:34,3.333346
2024-11-15 18:23:32,3.333349
2024-11-15 18:23:30,3.206994
2024-11-15 18:23:28,2.666684
2024-11-15 18:23:26,2.551736
2024-11-15 18:23:24,3.534369
2024-11-15 18:23:22,3.62092
2024-11-15 18:23:20,1.999936
2024-11-15 18:23:18,2.689516
2024-11-15 18:23:16,2.93684
2024-11-15 18:23:14,2.6667
2024-11-15 18:23:12,2.206944
2024-11-15 18:23:10,1.999983
