time,time
2024-11-15 21:18:42,0.9999953
2024-11-15 21:18:40,1.3509058
2024-11-15 21:18:38,1.3830459
2024-11-15 21:18:36,1.0642219
2024-11-15 21:18:34,0.5045906
2024-11-15 21:18:32,2.399097
2024-11-15 21:18:30,2.269063
2024-11-15 21:18:28,3.333492
2024-11-15 21:18:26,3.801183
2024-11-15 21:18:24,3.798054
2024-11-15 21:18:22,3.302812
2024-11-15 21:18:20,4.600863
2024-11-15 21:18:18,5.000058
2024-11-15 21:18:16,3.947148
2024-11-15 21:18:14,3.850875
2024-11-15 21:18:12,3.798212
2024-11-15 21:18:10,3.201859
2024-11-15 21:18:08,4.000011
2024-11-15 21:18:06,6.339426
2024-11-15 21:18:04,6.357809
2024-11-15 21:18:02,2.264523
2024-11-15 21:18:00,1.3334022
2024-11-15 21:17:58,1.4502938
2024-11-15 21:17:56,3.254566
2024-11-15 21:17:54,3.298103
2024-11-15 21:17:52,7.678675
2024-11-15 21:17:50,9.733959
2024-11-15 21:17:48,10.00012
2024-11-15 21:17:46,9.766108
2024-11-15 21:17:44,9.935815
2024-11-15 21:17:42,11.000158
2024-11-15 21:17:40,11.701777
2024-11-15 21:17:38,15.277127
2024-11-15 21:17:36,15.624238
2024-11-15 21:17:34,11.598743
2024-11-15 21:17:32,11.999916
2024-11-15 21:17:30,11.999796
2024-11-15 21:17:28,12.477236
2024-11-15 21:17:26,12.334822
2024-11-15 21:17:24,11.457177
2024-11-15 21:17:22,13.33376
2024-11-15 21:17:20,9.590033
2024-11-15 21:17:18,8.807323
2024-11-15 21:17:16,11.192684
2024-11-15 21:17:14,7.999931
2024-11-15 21:17:12,8.701848
2024-11-15 21:17:10,8.89911
2024-11-15 21:17:08,8.197184
2024-11-15 21:17:06,7.672365
2024-11-15 21:17:04,10.33354
2024-11-15 21:17:02,12.906853
2024-11-15 21:17:00,13.697201
2024-11-15 21:16:58,11.658732
2024-11-15 21:16:56,8.333356
2024-11-15 21:16:54,8.801235
2024-11-15 21:16:52,8.999979
2024-11-15 21:16:50,8.394632
2024-11-15 21:16:48,6.000346
2024-11-15 21:16:46,6.701533
2024-11-15 21:16:44,6.999811
2024-11-15 21:16:42,6.649116
2024-11-15 21:16:40,5.915162
2024-11-15 21:16:38,5.431213
2024-11-15 21:16:36,5.206215
2024-11-15 21:16:34,8.000264
2024-11-15 21:16:32,7.766031
2024-11-15 21:16:30,7.330226
2024-11-15 21:16:28,6.000042
2024-11-15 21:16:26,7.403613
2024-11-15 21:16:24,7.89905
2024-11-15 21:16:22,7.264483
2024-11-15 21:16:20,6.333426
2024-11-15 21:16:18,5.6316
2024-11-15 21:16:16,5.366991
2024-11-15 21:16:14,5.600782
2024-11-15 21:16:12,5.999988
2024-11-15 21:16:10,6.701854
2024-11-15 21:16:08,7.468033
2024-11-15 21:16:06,7.734148
2024-11-15 21:16:04,8.000235
2024-11-15 21:16:02,7.297983
2024-11-15 21:16:00,6.542535
2024-11-15 21:15:58,6.272408
2024-11-15 21:15:56,5.713914
2024-11-15 21:15:54,4.666692
2024-11-15 21:15:52,5.602373
2024-11-15 21:15:50,8.456154
2024-11-15 21:15:48,7.511625
2024-11-15 21:15:46,6.263135
2024-11-15 21:15:44,4.666662
2024-11-15 21:15:42,5.602494
2024-11-15 21:15:40,5.29814
2024-11-15 21:15:38,5.701765
2024-11-15 21:15:36,5.064212
2024-11-15 21:15:34,5.406613
2024-11-15 21:15:32,8.333333
2024-11-15 21:15:30,8.333302
2024-11-15 21:15:28,7.862445
2024-11-15 21:15:26,6.000072
2024-11-15 21:15:24,7.169757
2024-11-15 21:15:22,7.027553
2024-11-15 21:15:20,5.07166
2024-11-15 21:15:18,7.333514
2024-11-15 21:15:16,6.748501
2024-11-15 21:15:14,7.552746
2024-11-15 21:15:12,7.766044
2024-11-15 21:15:10,7.666646
2024-11-15 21:15:08,7.666685
2024-11-15 21:15:06,7.900575
2024-11-15 21:15:04,8.000047
2024-11-15 21:15:02,8.000066
2024-11-15 21:15:00,7.999968
2024-11-15 21:14:58,8.000061
2024-11-15 21:14:56,7.298122
2024-11-15 21:14:54,7.470829
2024-11-15 21:14:52,9.333256
2024-11-15 21:14:50,9.099304
2024-11-15 21:14:48,9.000075
2024-11-15 21:14:46,7.830357
2024-11-15 21:14:44,7.366968
2024-11-15 21:14:42,7.701778
2024-11-15 21:14:40,8.533633
2024-11-15 21:14:38,8.666742
2024-11-15 21:14:36,8.900537
2024-11-15 21:14:34,9.268984
2024-11-15 21:14:32,10.333444
2024-11-15 21:14:30,8.695813
2024-11-15 21:14:28,7.697284
2024-11-15 21:14:26,6.870004
2024-11-15 21:14:24,8.333444
2024-11-15 21:14:22,9.503114
2024-11-15 21:14:20,10.467941
2024-11-15 21:14:18,11.810483
2024-11-15 21:14:16,16.333148
2024-11-15 21:14:14,11.888314
2024-11-15 21:14:12,9.298136
2024-11-15 21:14:10,8.999969
2024-11-15 21:14:08,8.999979
2024-11-15 21:14:06,8.999937
2024-11-15 21:14:04,9.000001
2024-11-15 21:14:02,8.932765
2024-11-15 21:14:00,8.666707
2024-11-15 21:13:58,8.549673
2024-11-15 21:13:56,9.552544
2024-11-15 21:13:54,9.766142
2024-11-15 21:13:52,9.633156
2024-11-15 21:13:50,9.533517
2024-11-15 21:13:48,9.666783
2024-11-15 21:13:46,12.006072
2024-11-15 21:13:44,11.947258
2024-11-15 21:13:42,10.213324
2024-11-15 21:13:40,9.935775
2024-11-15 21:13:38,11.067433
2024-11-15 21:13:36,11.333541
2024-11-15 21:13:34,11.099319
2024-11-15 21:13:32,11.350977
2024-11-15 21:13:30,13.254826
2024-11-15 21:13:28,13.86553
2024-11-15 21:13:26,13.333107
2024-11-15 21:13:24,14.15197
2024-11-15 21:13:22,12.043487
2024-11-15 21:13:20,11.00025
2024-11-15 21:13:18,11.30299
2024-11-15 21:13:16,12.533101
2024-11-15 21:13:14,12.666671
2024-11-15 21:13:12,14.304227
2024-11-15 21:13:10,12.660538
2024-11-15 21:13:08,13.146774
2024-11-15 21:13:06,19.00029
2024-11-15 21:13:04,14.3209
2024-11-15 21:13:02,12.804097
2024-11-15 21:13:00,14.667038
2024-11-15 21:12:58,12.795076
2024-11-15 21:12:56,12.504482
2024-11-15 21:12:54,14.39898
2024-11-15 21:12:52,14.268864
2024-11-15 21:12:50,15.333338
2024-11-15 21:12:48,15.567262
2024-11-15 21:12:46,15.128485
2024-11-15 21:12:44,13
2024-11-15 21:12:42,14.052725
2024-11-15 21:12:40,16.605714
2024-11-15 21:12:38,15.394342
2024-11-15 21:12:36,16.722245
2024-11-15 21:12:34,16.8258
2024-11-15 21:12:32,13.39922
2024-11-15 21:12:30,13.06722
2024-11-15 21:12:28,13.333493
2024-11-15 21:12:26,15.555631
2024-11-15 21:12:24,13.80987
2024-11-15 21:12:22,13.205183
2024-11-15 21:12:20,15.333246
2024-11-15 21:12:18,14.046427
2024-11-15 21:12:16,15.254516
2024-11-15 21:12:14,16.233901
2024-11-15 21:12:12,15.862392
2024-11-15 21:12:10,14.000159
2024-11-15 21:12:08,14.000067
2024-11-15 21:12:06,14.467914
2024-11-15 21:12:04,14.935779
2024-11-15 21:12:02,17.34561
2024-11-15 21:12:00,22.66744
2024-11-15 21:11:58,17.28574
2024-11-15 21:11:56,14.999748
2024-11-15 21:11:54,14.297922
2024-11-15 21:11:52,14.706304
2024-11-15 21:11:50,16.99541
2024-11-15 21:11:48,14.999985
2024-11-15 21:11:46,14.649051
2024-11-15 21:11:44,15.55298
2024-11-15 21:11:42,15.648823
2024-11-15 21:11:40,17.95609
2024-11-15 21:11:38,15.72493
2024-11-15 21:11:36,14.468006
2024-11-15 21:11:34,14.999865
2024-11-15 21:11:32,15.467986
2024-11-15 21:11:30,15.53226
2024-11-15 21:11:28,14.99993
2024-11-15 21:11:26,15.935637
2024-11-15 21:11:24,16.064111
2024-11-15 21:11:22,15.135174
2024-11-15 21:11:20,15.669754
2024-11-15 21:11:18,21.16195
2024-11-15 21:11:16,17.06493
2024-11-15 21:11:14,14.770848
2024-11-15 21:11:12,16.499843
2024-11-15 21:11:10,16.80258
2024-11-15 21:11:08,18.00076
2024-11-15 21:11:06,18.70158
2024-11-15 21:11:04,18.53176
2024-11-15 21:11:02,17.59331
2024-11-15 21:11:00,14.666989
2024-11-15 21:10:58,15.60237
2024-11-15 21:10:56,16.134338
2024-11-15 21:10:54,16.666606
2024-11-15 21:10:52,16.9008
2024-11-15 21:10:50,16.59661
2024-11-15 21:10:48,15.000115
2024-11-15 21:10:46,16.169822
2024-11-15 21:10:44,16.330357
2024-11-15 21:10:42,15.0002
2024-11-15 21:10:40,17.10557
2024-11-15 21:10:38,18.13447
2024-11-15 21:10:36,18.66666
2024-11-15 21:10:34,15.85909
2024-11-15 21:10:32,14.666453
2024-11-15 21:10:30,14.666456
2024-11-15 21:10:28,16.304125
2024-11-15 21:10:26,15.362792
2024-11-15 21:10:24,15.003424
2024-11-15 21:10:22,16.332871
2024-11-15 21:10:20,17.15196
2024-11-15 21:10:18,15.043692
2024-11-15 21:10:16,15.169851
2024-11-15 21:10:14,15.330377
2024-11-15 21:10:12,13.999883
2024-11-15 21:10:10,14.233904
2024-11-15 21:10:08,14.770645
2024-11-15 21:10:06,16.0628
2024-11-15 21:10:04,14.333405
2024-11-15 21:10:02,16.438839
2024-11-15 21:10:00,16.92959
2024-11-15 21:09:58,15.3332
2024-11-15 21:09:56,17.20477
2024-11-15 21:09:54,16.128649
2024-11-15 21:09:52,15.367172
2024-11-15 21:09:50,14.894376
2024-11-15 21:09:48,13.206319
2024-11-15 21:09:46,16.000245
2024-11-15 21:09:44,14.362302
2024-11-15 21:09:42,13.834632
2024-11-15 21:09:40,14.802432
2024-11-15 21:09:38,16.000416
2024-11-15 21:09:36,13.660549
2024-11-15 21:09:34,13.002995
2024-11-15 21:09:32,14.333754
2024-11-15 21:09:30,12.695348
2024-11-15 21:09:28,12.935591
2024-11-15 21:09:26,13.400661
2024-11-15 21:09:24,13.666835
2024-11-15 21:09:22,13.432681
2024-11-15 21:09:20,13.669578
2024-11-15 21:09:18,14.66356
2024-11-15 21:09:16,13.333338
2024-11-15 21:09:14,12.748502
2024-11-15 21:09:12,13.552588
2024-11-15 21:09:10,12.596465
2024-11-15 21:09:08,12.807415
2024-11-15 21:09:06,15.058076
2024-11-15 21:09:04,11.333367
2024-11-15 21:09:02,12.737001
2024-11-15 21:09:00,12.963319
2024-11-15 21:08:58,11.600813
2024-11-15 21:08:56,11.865527
2024-11-15 21:08:54,11.333337
2024-11-15 21:08:52,12.152092
2024-11-15 21:08:50,12.149206
2024-11-15 21:08:48,15.041229
2024-11-15 21:08:46,15.963243
2024-11-15 21:08:44,13.692724
2024-11-15 21:08:42,10.668057
2024-11-15 21:08:40,11.333314
2024-11-15 21:08:38,11.450404
2024-11-15 21:08:36,12.55287
2024-11-15 21:08:34,12.865565
2024-11-15 21:08:32,12.333403
2024-11-15 21:08:30,10.695572
2024-11-15 21:08:28,9.532097
2024-11-15 21:08:26,9.165147
2024-11-15 21:08:24,8.668036
2024-11-15 21:08:22,9.333439
2024-11-15 21:08:20,9.801358
2024-11-15 21:08:18,10.100991
2024-11-15 21:08:16,10.533406
2024-11-15 21:08:14,10.666663
2024-11-15 21:08:12,10.900585
2024-11-15 21:08:10,10.798177
2024-11-15 21:08:08,10.403736
2024-11-15 21:08:06,11.495475
2024-11-15 21:08:04,9.399035
2024-11-15 21:08:02,8.999994
2024-11-15 21:08:00,9.000165
2024-11-15 21:07:58,10.052723
2024-11-15 21:07:56,10.148822
2024-11-15 21:07:54,10.46781
2024-11-15 21:07:52,10.801234
2024-11-15 21:07:50,11.333284
2024-11-15 21:07:48,10.748338
2024-11-15 21:07:46,9.9152
